n,allocates.time
0,1
500,71
1000,110
1500,122
2000,139
2500,169
3000,185
3500,206
4000,243
4500,237
5000,255
5500,323
6000,333
6500,333
7000,369
7500,426
8000,426
8500,433
9000,455
9500,470
