n,allocates.time
0,3
500,73
1000,103
1500,124
2000,143
2500,166
3000,177
3500,206
4000,245
4500,239
5000,253
5500,319
6000,338
6500,344
7000,383
7500,418
8000,435
8500,446
9000,453
9500,469
