n,quadratic.ticks
10000,300020000
20000,1200040000
30000,2700060000
40000,4800080000
50000,7500100000
60000,10800120000
70000,14700140000
80000,19200160000
90000,24300180000
100000,30000200000
110000,36300220000
120000,43200240000
130000,50700260000
140000,58800280000
150000,67500300000
160000,76800320000
170000,86700340000
180000,97200360000
190000,108300380000
200000,120000400000
210000,132300420000
220000,145200440000
230000,158700460000
240000,172800480000
250000,187500500000
260000,202800520000
270000,218700540000
280000,235200560000
