n,linear.time
10000000,3
10010000,3
10020000,3
10030000,3
10040000,3
10050000,3
10060000,3
10070000,3
10080000,3
10090000,3
10100000,3
10110000,3
10120000,3
10130000,3
10140000,3
10150000,3
10160000,3
10170000,3
10180000,3
10190000,3
10200000,3
10210000,3
10220000,4
10230000,3
10240000,3
10250000,4
10260000,4
10270000,4
10280000,4
10290000,4
10300000,4
10310000,3
10320000,4
10330000,3
10340000,4
10350000,4
10360000,4
10370000,4
10380000,4
10390000,4
10400000,4
10410000,4
10420000,4
