n,quadratic.time
10000,5
20000,18
30000,47
40000,203
50000,254
60000,369
70000,502
80000,657
90000,829
100000,1025
110000,1249
120000,1480
130000,1752
140000,2016
150000,2302
160000,2609
170000,2959
180000,3294
190000,3655
200000,4055
210000,4454
220000,4929
230000,5349
240000,5764
250000,6255
260000,6739
270000,7296
280000,7964
