n,list-addlast-withtail.ticks
0,0
500,2999
1000,5999
1500,8999
2000,11999
2500,14999
3000,17999
3500,20999
4000,23999
4500,26999
5000,29999
5500,32999
6000,35999
6500,38999
7000,41999
7500,44999
8000,47999
8500,50999
9000,53999
9500,56999
10000,59999
10500,62999
11000,65999
11500,68999
12000,71999
12500,74999
13000,77999
13500,80999
14000,83999
14500,86999
