n,list-addlast-withtail.time
0,0
500,3
1000,4
1500,12
2000,20
2500,29
3000,37
3500,46
4000,63
4500,78
5000,94
5500,112
6000,144
6500,158
7000,188
7500,215
8000,242
8500,270
9000,302
9500,338
10000,374
10500,411
11000,453
11500,492
12000,536
12500,585
13000,650
13500,676
14000,727
14500,807
